First,Last ,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMar,Mohawk,Bimblers,Total
Jenny,Carpenter,*,*,*,*,*,*,*,*,*,63.98,*,*,63.98
Verna,Lukehart,63.96,*,*,*,*,*,*,*,*,*,*,*,63.96
Carrie,Coy,*,*,*,*,*,*,*,63.74,*,*,*,*,63.74
Sarah,Luedee,63.58,*,*,*,*,*,*,*,*,*,*,*,63.58
Nicole,Kim,63.56,*,*,*,*,*,*,*,*,*,*,*,63.56
Jen,Polverari,*,63.50,*,*,*,*,*,*,*,*,*,*,63.50
Madeleine,Boudreau,*,*,63.43,*,*,*,*,*,*,*,*,*,63.43
Dianne,Nelson,63.36,*,*,*,*,*,*,*,*,*,*,*,63.36
Kat,Blakeley,63.21,*,*,*,*,*,*,*,*,*,*,*,63.21
Kelsey,Olaughlin,63.21,*,*,*,*,*,*,*,*,*,*,*,63.21
Natalie,Leppert,*,*,*,*,*,*,*,*,*,*,*,63.05,63.05
Molly,Kelleher,*,*,*,*,*,*,62.65,*,*,*,*,*,62.65
Karen,Prado,*,*,*,*,*,*,*,*,*,62.64,*,*,62.64
Indira,Schwarting,*,*,*,*,*,*,62.57,*,*,*,*,*,62.57
Trisha,Seeley,*,*,*,*,*,62.56,*,*,*,*,*,*,62.56
Christine,Feder,*,62.50,*,*,*,*,*,*,*,*,*,*,62.50
Rebecca,Fahey,*,*,62.30,*,*,*,*,*,*,*,*,*,62.30
Kristin,Champagne,*,*,62.21,*,*,*,*,*,*,*,*,*,62.21
Marissa,Sprouls,*,*,62.11,*,*,*,*,*,*,*,*,*,62.11
Ottilia,Demeter,*,*,*,*,*,*,61.84,*,*,*,*,*,61.84
Judy,Manjur,*,*,61.79,*,*,*,*,*,*,*,*,*,61.79
Jen,Filer,*,61.55,*,*,*,*,*,*,*,*,*,*,61.55
Sheryl,Beaudion,*,*,*,*,61.44,*,*,*,*,*,*,*,61.44
Clare,Reda,*,*,*,*,*,*,*,*,*,*,*,61.36,61.36
Becky,McAvoy,*,61.22,*,*,*,*,*,*,*,*,*,*,61.22
Vanda,Doyle,*,*,*,*,*,61.21,*,*,*,*,*,*,61.21
Kari,Glaude,*,*,*,*,*,*,*,61.14,*,*,*,*,61.14
Stephanie,Arce,*,*,60.96,*,*,*,*,*,*,*,*,*,60.96
Laina,Hancock,*,*,*,60.87,*,*,*,*,*,*,*,*,60.87
Cynthia,Bezanson,*,*,60.85,*,*,*,*,*,*,*,*,*,60.85
Bethany,Ladd,*,*,*,*,*,*,*,*,*,*,*,60.83,60.83
Davnet,Schaffer,60.46,*,*,*,*,*,*,*,*,*,*,*,60.46
Kaila,Curran,*,*,60.29,*,*,*,*,*,*,*,*,*,60.29
Annette,Kwok,*,*,60.22,*,*,*,*,*,*,*,*,*,60.22
Melissa,Nightingale,59.70,*,*,*,*,*,*,*,*,*,*,*,59.70
Caroline,Leean,*,*,*,*,*,*,*,*,*,*,*,59.56,59.56
Ana,Molina,*,*,*,*,*,59.49,*,*,*,*,*,*,59.49
Melinda,Noel,*,*,*,*,*,*,*,*,*,*,*,59.15,59.15
Sara,Pearson,*,*,59.04,*,*,*,*,*,*,*,*,*,59.04
Patti,Brown,*,*,59.03,*,*,*,*,*,*,*,*,*,59.03
Mirela,Postelnicu,*,*,58.92,*,*,*,*,*,*,*,*,*,58.92
Erin,Sabato,*,58.77,*,*,*,*,*,*,*,*,*,*,58.77
Aurora,Hoey,*,*,*,*,58.71,*,*,*,*,*,*,*,58.71
Melinda,Carpenter,*,*,58.56,*,*,*,*,*,*,*,*,*,58.56
Beth,Harrison,*,58.36,*,*,*,*,*,*,*,*,*,*,58.36
Margaret,Dyer,*,*,*,*,*,*,58.28,*,*,*,*,*,58.28
Patricia,Swim,*,*,*,*,*,*,*,58.18,*,*,*,*,58.18
Heather,Brunelle,*,*,58.10,*,*,*,*,*,*,*,*,*,58.10
Lorraine,Giantonio,*,*,*,*,*,57.77,*,*,*,*,*,*,57.77
Anna,Carbone-Harms,*,*,57.63,*,*,*,*,*,*,*,*,*,57.63
Ashley,Barey,57.53,*,*,*,*,*,*,*,*,*,*,*,57.53
Amanda,Yang,57.48,*,*,*,*,*,*,*,*,*,*,*,57.48
Theresa,Bly,*,*,57.27,*,*,*,*,*,*,*,*,*,57.27
Stefanie,Walker,*,*,57.26,*,*,*,*,*,*,*,*,*,57.26
Christina,Meehan,*,*,57.14,*,*,*,*,*,*,*,*,*,57.14
Elisabeth,Priedt,*,*,56.96,*,*,*,*,*,*,*,*,*,56.96
Elaine,Sullivan,*,*,56.84,*,*,*,*,*,*,*,*,*,56.84
Marcy,Ritsick,*,*,56.78,*,*,*,*,*,*,*,*,*,56.78
Marion,Jones,*,*,*,*,*,56.60,*,*,*,*,*,*,56.60
Cindy,Lignar,*,*,56.05,*,*,*,*,*,*,*,*,*,56.05
Ginny,Monk,*,*,*,*,*,*,56.04,*,*,*,*,*,56.04
Kelly,Pabilonia,*,*,55.57,*,*,*,*,*,*,*,*,*,55.57
Bonnie,Loveland,*,*,*,55.41,*,*,*,*,*,*,*,*,55.41
Donna,Debicella,*,*,55.30,*,*,*,*,*,*,*,*,*,55.30
Charity,Uman,54.65,*,*,*,*,*,*,*,*,*,*,*,54.65
Allison,Mangles,*,*,54.54,*,*,*,*,*,*,*,*,*,54.54
Charlotte,Ward,*,*,54.32,*,*,*,*,*,*,*,*,*,54.32
Kerri,Magerowski,*,*,*,*,*,*,*,*,*,54.07,*,*,54.07
Sandy,Bartell,53.80,*,*,*,*,*,*,*,*,*,*,*,53.80
Manisha,Patel,*,*,53.53,*,*,*,*,*,*,*,*,*,53.53
Nina,Smith,53.42,*,*,*,*,*,*,*,*,*,*,*,53.42
Kris,Larsen,*,*,52.61,*,*,*,*,*,*,*,*,*,52.61
Amy,Faraone,52.54,*,*,*,*,*,*,*,*,*,*,*,52.54
Amy,Schoenecker,52.53,*,*,*,*,*,*,*,*,*,*,*,52.53
Elizabeth,Bailey Geib,*,*,52.45,*,*,*,*,*,*,*,*,*,52.45
Aline,Colangelo,*,*,*,*,*,52.04,*,*,*,*,*,*,52.04
Mariah,Travisano,*,*,51.59,*,*,*,*,*,*,*,*,*,51.59
Mary,Beaudoin,*,*,*,*,51.28,*,*,*,*,*,*,*,51.28
Veronica,Wolfe,50.57,*,*,*,*,*,*,*,*,*,*,*,50.57
Marissa,Birmingham,*,*,50.45,*,*,*,*,*,*,*,*,*,50.45
Christine,Woodside,*,*,50.38,*,*,*,*,*,*,*,*,*,50.38
Sarah,Lewis,48.95,*,*,*,*,*,*,*,*,*,*,*,48.95
Terri,Swanson,47.28,*,*,*,*,*,*,*,*,*,*,*,47.28
Ryn,Clark,47.26,*,*,*,*,*,*,*,*,*,*,*,47.26
Rebecca,Makas,47.26,*,*,*,*,*,*,*,*,*,*,*,47.26
Karalee,Peach,*,*,*,46.92,*,*,*,*,*,*,*,*,46.92
Randi,Salvas,*,*,*,46.92,*,*,*,*,*,*,*,*,46.92
Evelyn,Ortiz,*,*,*,*,*,*,*,*,*,*,46.39,*,46.39
Madeline,Torres,*,*,45.49,*,*,*,*,*,*,*,*,*,45.49
Sara,Spodick,45.41,*,*,*,*,*,*,*,*,*,*,*,45.41
Kelsey,Genda,44.78,*,*,*,*,*,*,*,*,*,*,*,44.78
Jean,Mumley,*,*,44.13,*,*,*,*,*,*,*,*,*,44.13
Lee,AnneZarger,*,*,*,*,*,41.37,*,*,*,*,*,*,41.37
Annalisa,Deal,40.27,*,*,*,*,*,*,*,*,*,*,*,40.27
Maria,Edmondson,*,*,*,*,*,*,*,*,*,*,39.93,*,39.93
Kara,Hutchinson,*,*,37.47,*,*,*,*,*,*,*,*,*,37.47
Melanie,Ryan,*,*,37.46,*,*,*,*,*,*,*,*,*,37.46
Debra,Robinson,*,*,37.46,*,*,*,*,*,*,*,*,*,37.46
Kimberly,Benevides,*,*,36.91,*,*,*,*,*,*,*,*,*,36.91
Betty -Lou,Goodwin,*,*,36.90,*,*,*,*,*,*,*,*,*,36.90
